song,artist
Ride Out,Kid Ink
I've Never Seen Anything Like It,Cast of Doctor Dolittle
Someone Like You,Van Morrison
Tuesday's Gone,Lynyrd Skynyrd
Suddenly I See,KT Tunstall
Flower of the Universe,Sade
Relax,Frankie Goes to Hollywood
Let Us Move On,Dido
Time To Pretend,MGMT
I Want a Girl (Just Like the Girl That Married Dear Old Dad),Al Jolson
If I Only Had The Nerve,Bert Lahr
All By Myself,Eric Carmen
Everything in its Right Place,Radiohead
Great Balls of Fire,Jerry Lee Lewis
Pennies from Heaven,Bing Crosby
Bring Your Daughter To the Slaughter,Iron Maiden
Setting Sun,The Chemical Brothers
Unfinished Songs,Celine Dion
You Are So Beautiful,Joe Cocker
Girls! Girls! Girls!,Liz Phair
The Ground Beneath Her Feet,U2
Bittersweet,Ellie Goulding
In Your Eyes,Peter Gabriel
Invisible Touch,Genesis
I Don't Care,Fall Out Boy
I Wish I Didn't Love You So,Betty Hutton
Elastic Heart,Sia
Mad World,Tears for Fears
Rock And Roll All Nite,Kiss
Hurdy Gurdy Man,Donovan
Think For Yourself,The Beatles
Word Up!,Cameo
Every Which Way But Loose,Eddie Rabbitt
The Horses,Rickie Lee Jones
Moonlight Feels Right,Starbuck
Another Day of Sun ,La La Land Cast
Philadelphia,Neil Young
I Will Always Love You,Dolly Parton
The Wind,Cat Stevens
Kiss From A Rose,Seal
Circle of Life,Elton John
Truly Madly Deeply,Savage Garden
Me And My Shadow,Ted Lewis
Penny Lover,Lionel Richie
Rain From Heaven,Eric Paslay
Afternoon Delight,Starland Vocal Band
Save Tonight,Eagle-Eye Cherry
Garden's Heart,Natasha Khan & Jon Hopkins
Waterloo,ABBA
Nice Guys Finish Last,Green Day
Sing A Rainbow,Arthur Hamilton
You Shouldn't Look At Me That Way,Elvis Costello
Adam Raised a Cain,Bruce Springsteen
Midnight Cowboy,John Barry Orchestra
It Hurts So Good,Millie Jackson
Chantilly Lace,The Big Bopper
Wake Up,Rage Against the Machine
Shine,Gwen Stefani
Stand By Me,Ben E. King
Kings Never Die,Eminem
Your Disease,Saliva
It's A Man's Man's Man's World,James Brown
Photograph,Ed Sheeran
Start,The Jam
Du Hast,Rammstein
Just Can't Get Enough,Depeche Mode
Hippy Hippy Shake,Chan Romero
Glory Of Love,Peter Cetera
Blister In The Sun,Violent Femmes
Get Low,Dillon Francis
All Known Things,Eleanor Friedberger
Kid,Peter Andre
Too Close,Alex Clare
I Think I Love You,The Partridge Family
One More Hour,Jennifer Warnes
"When The Going Gets Tough, The Tough Get Going",Billy Ocean
Killing Me Softly With His Song,Roberta Flack
Supermodel,Jill Sobule
World Gone Mad,Bastille
Yesterday,The Beatles
Last Train Home,Ryan Star
If A Man Answers,Bobby Darin
Ordinary Human,OneRepublic
Obsession-Confession,Slash
Beating Heart,Ellie Goulding
Angel,Sarah McLachlan
Hoedown Throwdown,Miley Cyrus
I Wanna Be Around,Tony Bennett
Life Is Hard,Bob Dylan
I See Love,Jonas Blue
Hot Wings (I Wanna Party),will.i.am and Jamie Foxx
Poor Pauline,Arthur Fields
Water Music Suite in D Major ,George Frederick Handel
East Bound And Down,Jerry Reed
Lucky Town,Bruce Springsteen
I Can Always Find a Little Sunshine In The Y.M.C.A.,Lambert Murphy with the Orpheus Quartet
Any Way You Want It,Journey
First Time Ever I Saw Your Face,Roberta Flack
Blueberry Hill,Fats Domino
Move Along,The All-American Rejects
The Wanderer,Dion
Wicked Game,Chris Isaak
How Many Times,Wild August
Singin' In The Rain,Gene Kelly
Bouncing Off The Walls,Sugarcult
Hans Christian Andersen,Danny Kaye
The Only Living Boy In New York,Simon & Garfunkel
Winter Lady,Leonard Cohen
Have You Never Been Mellow,Olivia Newton-John
In The Air Tonight,Phil Collins
It's All In The Game,Tommy Edwards
Evergreen,Barbra Streisand
(They Long to Be) Close to You,Carpenters
Our Love,Michael McDonald
Hold On,SHEL and Gareth Dunlop
Bad Luck Messin' With Me,Brother Yusef
Diamond Eyes,Shinedown
Click Click Boom,Saliva
Toyland,Doris Day
Young At Heart,Jimmy Durante
Extraordinary,Liz Phair
He's Back (The Man Behind The Mask),Alice Cooper
Ready To Take A Chance Again,Barry Manilow
Bom Bidi Bom,Nick Jonas and Nicki Minaj
Push The Button,Amy Lee
Daughter,Peter Blegvad
Hots On For Nowhere,Led Zeppelin
Real in Rio,Jesse Eisenberg
Wise Up,Aimee Mann
Woman In Chains,Tears for Fears
Girl,Davy Jones
Ramblin' Man,The Allman Brothers Band
Cherish,The Association
My Little Red Book,Love
Best Thing Ever,Scritti Politti
Aftermath,Tricky
Jive Talkin',Bee Gees
Run S--thead Run,Mudhoney
Colors,Ice-T
Red House,Jimi Hendrix
Let the Good Times Roll,Shirley & Lee
April In Paris,Ella Fitzgerald
Burning Down the House,Talking Heads
The Last Goodbye,Billy Boyd
Come And Get Your Love,Redbone
Penis Song,Monty Python
Good Life,G-Eazy
You Light Up My Life,Debby Boone
Need You Tonight,INXS
Santa Claus Is Coming To Town,Eddie Cantor
Let's Have Another Cup of Coffee,Fred Waring & His Pennsylvanians
Eight Days a Week,The Beatles
Institutionalized,Suicidal Tendencies
Ain't That a Kick in the Head,Dean Martin
The Hands That Built America,U2
Can You See,Fifth Harmony
A Dream Is A Wish Your Heart Makes,Ilene Woods
I Know You,Skylar Grey
Thunderstruck,AC/DC
Faith,Stevie Wonder
I Wanna Rock,Twisted Sister
Small Hours,John Martyn
Vacation,The Go-Go's
Eclipse (All Yours),Metric
Mutt,blink-182
"Baby Did a Bad, Bad Thing",Chris Isaak
Little Green Bag,George Baker Selection
Radar Love,Golden Earring
Kiss and Tell,Bryan Ferry
Manta Ray,J. Ralph and Antony
The World I Knew,Jordin Sparks
We're Off To See The Wizard,Judy Garland
Only The Strong,Flaw
Something's Not Right,Lily Allen
Stars,Skillet
Break On Through (To The Other Side),The Doors
Come Out And Play,The Offspring
I've Got My Love To Keep Me Warm,Dick Powell
Mr. Roboto,Styx
Tommy The Cat,Primus
The Wind Beneath My Wings,Bette Midler
I Wan'na Be Like You,Baloo The Bear and Mowgli
Before It's Too Late (Sam and Mikaela's Theme),The Goo Goo Dolls
Get It Right,Diplo
Get A Big Top Hat,Jonathan Hodge
Interstellar Overdrive,Pink Floyd
Nobody's Fool,Brad Paisley
Talk To The Animals,Cast of Doctor Dolittle
Crazy In Love,Beyoncé
Almost Is Never Enough,Ariana Grande
Let's Swing,Boggy Creek
Man or Muppet,Jason Segel
End Credits,Chase & Status
Rhythm Of The Night,DeBarge
Get Together,The Youngbloods
Live To Tell,Madonna
Don't Let The Sun Go Down On Me,Elton John
Change The World,Eric Clapton
Pet Sematary,Ramones
Illegal Smile,John Prine
The Wrestler,Bruce Springsteen
True Faith,New Order
When The Rain Begins To Fall,Jermaine Jackson
Guts Over Fear,Eminem
The Fields Of Athenry,Paddy Reilly
You Are Love (Toujours Gai Mon Cher),Janis Ian
"""Sexcrime (Nineteen Eighty-Four)""",Eurythmics
Round Round,Sugababes
Poison,The Prodigy
Loverboy,Mariah Carey
The Star-Spangled Banner,Traditional
Left Hand Free,Alt-J
Animal House,Stephen Bishop
So Long,Everlast
Lollipop,Mika
Haven't Got Time For the Pain,Carly Simon
Wait,Wang Chung
Boys Don't Cry,The Cure
A Life Less Ordinary,Ash
The Boys Are Back In Town,The BusBoys
"Get Outta My Dreams, Get Into My Car",Billy Ocean
I Feel Everything,Cara Delevingne
Yeah Ya Know (Takers),T.I.
Judy Is A Punk,Ramones
Writing's On The Wall,Sam Smith
Flash,Queen
Endless Love,Diana Ross and Lionel Richie
In the Garden,Elvis Presley
Today Was a Fairytale,Taylor Swift
You Sexy Thing,Hot Chocolate
Lady In Red,Chris de Burgh
Dream A Little Dream Of Me,Various
Life On Mars?,David Bowie
Love Kills,Freddie Mercury
Respect,Aretha Franklin
American Woman,Lenny Kravitz
Blaze Of Glory,Jon Bon Jovi
Playing With the Boys,Kenny Loggins
Time Of The Season,The Zombies
Don't Know What You Got (Till It's Gone),Cinderella
Shining Star,"Earth, Wind & Fire"
You Only Live Twice,Nancy Sinatra
Paper Planes,M.I.A.
Blue Skies,Ben Selvin
Redbone,Childish Gambino
Holly Jolly Christmas,Burl Ives
Break My Stride,Matthew Wilder
Upside Down,Jack Johnson
Voice of Truth,Casting Crowns
FM (No Static At All),Steely Dan
My Girl,The Temptations
Long Live Rock,The Who
Lighting The Way,Superdrag
The Galaxy Song,Monty Python
(Oh) Pretty Woman,Roy Orbison
It's Probably Me,Sting
Sleeping Bag,ZZ Top
The Scientist,Coldplay
Not About Angels,Birdy
Rock-A-Hula Baby,Elvis Presley
See You Again,Wiz Khalifa
Black Sheep,Metric
Damien,Iced Earth
Stand By Your Man,Tammy Wynette
When You Say Nothing At All,Ronan Keating
Cosmic Thing,The B-52s
Open Your Heart,Madonna
Renegade,Styx
He Got Game,Public Enemy
Tommy's Holiday Camp,The Who
The Girl From Ipanema,Stan Getz and Astrud Gilberto
She Sells Sanctuary,The Cult
In Transit,Mark Hoppus with Pete Wentz
The Trail Of The Lonesome Pine,Laurel & Hardy
Faith Of The Heart,Rod Stewart
Beautiful Boy (Darling Boy),John Lennon
Coming Home,Gwyneth Paltrow
Ding-Dong! The Witch Is Dead,Judy Garland
Semi-Charmed Life,Third Eye Blind
All The Young Dudes,Mott the Hoople
That's Amore,Dean Martin
Theme From S'Express,S'Express
Fame,Irene Cara
Levitate,Bruce Hornsby
Lose Yourself,Eminem
Heroin,The Velvet Underground
Go Hard or Go Home,Wiz Khalifa and Iggy Azalea
Rave On,Buddy Holly
Helium,Sia
On the Sunny Side Of The Street,Harry Richman
Mele Kalikimaka,Bing Crosby
Vicious Traditions,The Veils
Happy-Go-Lucky Me,Paul Evans
What Is Love,Haddaway
Can't Stop The Feeling!,Justin Timberlake
Dry Bones,The Delta Rhythm Boys
Dangerous,Big Data
Best Things,Cast of Paint Your Wagon
Goin' Down The Road,Brother Yusef
I'll Be Seeing You,Billie Holiday
Great Day,Paul McCartney
The Banana Boat Song (Day-O),Harry Belafonte
Jungle Boogie,Kool & the Gang
Ooh La La,Britney Spears
Angelene,PJ Harvey
Nobody Does It Better,Carly Simon
The James Bond Theme,John Barry Orchestra
Freedom Cadence,Bruce Springsteen
Joy to the World,Three Dog Night
Painting Flowers,All Time Low
Pehla Pehla Pyar,S.P. Balasubramaniam
Love Me Like You Do,Ellie Goulding
Kashmir,Led Zeppelin
When I Fall In Love,Doris Day
What's Simple Is True,Jewel
Lille,Lisa Hannigan
Mississippi Queen,Mountain
Deep In The Heart Of Texas,Perry Como
"Hang Me, Oh Hang Me",Oscar Isaac
Man Size Love,Klymaxx
Redemption Song,Bob Marley & the Wailers
On The Run,Brother Yusef
If I Were A Rich Man,Cast of Fiddler on the Roof
Hit Or Miss,New Found Glory
A Whiter Shade Of Pale,Procol Harum
Lover,Les Paul
Gangsta's Paradise,Coolio
Heaven,Bryan Adams
The Right Thing,Mandisa
Six Days,DJ Shadow
New Perspective,Panic! at the Disco
We Got The Beat,The Go-Go's
Stuck In The Middle With You,Stealers Wheel
All In,Brad Paisley
Shine,John Legend & the Roots
American Girl,Tom Petty & the Heartbreakers
Why Did You Do That?,Lady Gaga
The Way He Makes Me Feel,Barbra Streisand
Dream Weaver,Gary Wright
Mama Said,The Shirelles
You Gotta Be,Des'ree
Sweet Emotion,Aerosmith
('Til) I Kissed You,The Everly Brothers
You've Lost That Lovin' Feelin',The Righteous Brothers
Sittin' Up In My Room,Brandy
Walk Like a Man,The Four Seasons
Spooks,Jonny Greenwood
Po' Lazarus,James Carter And The Prisoners
Rapper's Delight,The Sugarhill Gang
Brooklyn (Go Hard),Jay-Z
Sledgehammer,Rihanna
Be My Baby,The Ronettes
My Cherie Amour,Stevie Wonder
New Age Girl,Deadeye Dick
Overblown,Mudhoney
A Kind Of Magic,Queen
Moonage Daydream,David Bowie
Lost Stars,Adam Levine
Jockey Full Of Bourbon,Tom Waits
Classic Man,Jidenna
All Together Now,The Beatles
I'm The One,Van Halen
Nothing From Nothing,Billy Preston
Extreme Ways,Moby
Red Wing,Various
Big Girls Don't Cry,The Four Seasons
Dragula,Rob Zombie
Willow's Song,Paul Giovanni
Bird On The Wire,Leonard Cohen
This Is Me,Demi Lovato
Moving In Stereo,The Cars
Oblivion,M83
Again,Janet Jackson
Home,Phillip Phillips
Political World,Bob Dylan
Goonies R Good Enough,Cyndi Lauper
Powerless,Linkin Park
Pacific Rim,Ramin Djawadi
If I Can't Have You,Yvonne Elliman
Real Wild Child (Wild One),Iggy Pop
Two Hearts,Phil Collins
Xanadu,Olivia Newton-John
True Love's Kiss,Amy Adams and James Marsden
Come With Me,Puff Daddy
Minion Mambo,The Minions
Son Of A Preacher Man,Dusty Springfield
Is That All There Is?,Peggy Lee
Kick It Up a Notch,Slash
Almost Paradise,Mike Reno & Ann Wilson
"New York, New York",Frank Sinatra
About Her,Malcolm McLaren
Learn Me Right,Mumford & Sons
Scatterlings Of Africa,Johnny Clegg & Juluka
Anyone Else But You,The Moldy Peaches
Hungarian Rhapsody No. 2,Franz Liszt
Minnie the Moocher,Cab Calloway
Do You Believe In Magic?,The Lovin' Spoonful
We Have All The Time In The World,Louis Armstrong
Robots Never Lie,Mat Zo
I Think We're Alone Now,Tiffany
Supercalifragilisticexpialidocious,Julie Andrews
Rule The World,Take That
Here Comes The Hotstepper,Ini Kamoze
Surfin' Bird,The Trashmen
Aba Daba Honeymoon,Debbie Reynolds and Carleton Carpenter
I Will Be Heard,Hatebreed
Think,Aretha Franklin
Time Is On My Side,The Rolling Stones
Do You Love Me,The Contours
Moon River,Henry Mancini
We're Going To Be Friends,The White Stripes
Love Kills,Vinnie Vincent Invasion
How Ya Gonna Keep 'em Down on the Farm (After They've Seen Paree),Nora Bayes
It's Not Too Late,Demi Lovato
My Blood,Ellie Goulding
Paint It Black,The Rolling Stones
Basketball Jones,Cheech & Chong
Count On Me,Whitney Houston and CeCe Winans
You Can't Hurry Love,The Supremes
Scotty Doesn't Know,Lustra
Stir It Up,Johnny Nash
I Gotcha,Joe Tex
Goodnight Tonight,Wings
Wild Wild Life,Talking Heads
Can't Help But Wait,Trey Songz
Blue Moon,The Marcels
Easy,Commodores
Walk Unafraid,R.E.M.
It's Goin' Down,Descendants 2 Cast
Thank U,Alanis Morissette
Deck The Halls,Traditional
Espionage,Green Day
Can't Buy Me Love,The Beatles
Anytime,Eve 6
Just Born Bad,Rich Hillen Jr.
Growin' Up,Bruce Springsteen
My Way,Frank Sinatra
Anthem,Leonard Cohen
Pledging My Love,Johnny Ace
Songbird,Kenny G
Lotus Blossom,Billy Strayhorn
Whistle While You Work,Adriana Caselotti
I'm the Guy Who Found The Lost Chord,Jimmy Durante
Route 66,Nat King Cole
Chasing The Sun,The Wanted
I Enjoy Being A Girl,Doris Day
Fly,Sugar Ray
Meet Me In the Middle,Jessie Ware
Where Do You Go To (My Lovely)?,Peter Sarstedt
Song of the Lonely Mountain,Neil Finn
You Spin Me Round (Like A Record),Dead or Alive
Für Elise,Ludwig Van Beethoven
Black Skinhead,Kanye West
Have A Nice Day,Stereophonics
Auld Lang Syne,Traditional
I Wonder,Diffuser
Almost Like Being In Love,Frank Sinatra
Purple Lamborghini,Skrillex & Rick Ross
Rawhide,Frankie Laine
Toot Sweets,Dick Van Dyke
Thumbelina,Danny Kaye
Viva Las Vegas,Elvis Presley
Love Theme from St. Elmo's Fire,David Foster
I Can't Help Myself (Sugar Pie Honey Bunch),The Four Tops
"Say You, Say Me",Lionel Richie
Heartland,George Strait
When Irish Eyes Are Smiling,Bing Crosby
Mercy Is,Patti Smith
It's The Hard Knock Life,Cast of Annie
(We Ain't Got) Nothin' Yet,Blues Magoos
Ain't That A Shame,Fats Domino
Bless 'Em All,George Formby
Into The Mystic,Van Morrison
Rebel Rebel,David Bowie
I've Got No Strings,Dickie Jones
You Don't Own Me,Grace
For You,Keith Urban
We May Never Love Like This Again,Maureen McGovern
Accidents Will Happen,Patsy Ann Noble
Too Much,Spice Girls
Wishin' And Hopin',Dusty Springfield
Moonshine,Foy Vance
Who's That Girl,Madonna
Beheaded,The Offspring
Gonna Fly Now (Theme From Rocky),Bill Conti
Another Way to Die,Jack White and Alicia Keys
Belle,Cast of Beauty And The Beast
Can't You Hear Me Knocking?,The Rolling Stones
Neutron Star Collision (Love Is Forever) ,Muse
The Politics of Dancing,Re-Flex
"(What's So Funny 'Bout) Peace, Love, and Understanding",Elvis Costello
Don't You (Forget About Me),Simple Minds
Try Again,Aaliyah
My Brain Is Hanging Upside Down (Bonzo Goes to Bitburg),Ramones
Just A Friend,Biz Markie
I Want Your Sex,George Michael
Roxanne,The Police
Touch Me,The Doors
Chances,Hot Chocolate
I Ain't Down Yet,Debbie Reynolds
Teenage Dirtbag,Wheatus
Suspicious Minds,Elvis Presley
Sloop John B,The Beach Boys
Private Idaho,The B-52s
A Matter Of Trust,Billy Joel
For The First Time,Kenny Loggins
Rock On,David Essex
Honey,Moby
Earthquake,DJ Fresh Vs Diplo
Feels So Good,Chuck Mangione
All the Stars,Kendrick Lamar
All Time High,Rita Coolidge
I'm Gonna Be (500 Miles),The Proclaimers
Soul to Squeeze,Red Hot Chili Peppers
Think You Can Wait,The National
Der Fuehrer's Face,Spike Jones & His City Slickers
You Found Me,Switchfoot
Always,Irving Berlin
Sh-Boom,The Chords
Hushabye Mountain,Dick Van Dyke
Ballad Of Sacco And Vanzetti Part 2,Joan Baez
That International Rag,Irving Berlin
Classico,Tenacious D
Boom Boom,John Lee Hooker
Wand'rin' Star,Lee Marvin
Lover,Jeanette MacDonald
The Candy Man,"Sammy Davis, Jr."
The Adagio from Schubert's String Quintet in C Major,Franz Schubert
Don't Change 4 Me,Matthew Moon
Walking On Sunshine,Katrina & the Waves
Candy Paint,Post Malone
The Happening,The Supremes
My Baby Just Cares For Me,Nina Simone
Oh! Mr Porter,Marie Lloyd
Blue Canadian Rockies,Gene Autry
I Know What Boys Like,The Waitresses
I Turn My Camera On,Spoon
Hanging On,Ellie Goulding
Rubber Duckie,Jim Henson
Survival,Muse
Annie's Song,John Denver
Fragments,Jack Johnson
Not Today,Imagine Dragons
If You Could Read My Mind,Gordon Lightfoot
Barracuda,Heart
Put a Little Love in Your Heart,Jackie DeShannon
Better,Tom Baxter
Killer On The Loose,Sorcery
Just Dropped In (To See What Condition My Condition Was In),The First Edition
That's Entertainment,The Jam
The End,The Doors
No Rain,Blind Melon
Yeah!,Usher
You're a F--king Nerd and No One Likes You,OK Go
Undiscovered,Laura Welsh
Baby Got Back,Sir Mix-A-Lot
Easter Parade,Fred Astaire
God Gave Rock And Roll To You II,Kiss
Monkey Man,The Rolling Stones
Those Magnificent Men In Their Flying Machines,Ron Goodwin's Orchestra
Black Betty,Ram Jam
Down With The Sickness,Disturbed
Corona,Minutemen
Bodies,Drowning Pool
The First Noel,Traditional
When The Tigers Broke Free,Pink Floyd
The Ecstasy Of Gold,Metallica
Lynn's Theme,Ólafur Arnalds
Heavy Metal (Takin' A Ride),Don Felder
Venus,Frankie Avalon
Blind Pig,Emmi
Despicable Me,Pharrell Williams
Reasons,"Earth, Wind & Fire"
All Is Love,Karen O & the Kids
Dancing in the Dark,Rihanna
Butterfly Fly Away ,Miley Cyrus and Billy Ray Cyrus
The Kids Aren't Alright,The Offspring
Nowhere To Run,Martha & the Vandellas
Disco Lies,Moby
Days Of Wine And Roses,Henry Mancini
Cry Little Sister,G. Tom Mac
Something In The Way,Nirvana
In A Lonely Place,Bush
Where I Come From,Passion Pit
Ballroom Blitz,Sweet
Big Brother,Hazel O'Connor
Since I Don't Have You,The Skyliners
I Am The Narrator,Plan B
My Dream,Marilyn Lovell
The Landlord's Daughter,Paul Giovanni
The Traveler,Harper Vedder
Blowin' In The Wind,Bob Dylan
December 1963 (Oh What a Night),The Four Seasons
Holes In The Sky,M83
The Current,Blue Man Group
America,Neil Diamond
Will It Go Round In Circles,Billy Preston
On Our Own,Bobby Brown
Fare Thee Well (Dink's Song),Oscar Isaac
Hound Dog,Elvis Presley
How Soon Is Now?,The Smiths
Magic Moments,Perry Como
A Million Miles Away Behind The Door,Anita Gordon
Ball Of Confusion (That's What the World Is Today),The Temptations
Walk Away,Tom Waits
Man Smart (Woman Smarter),Harry Belafonte
Toot Toot Tootsie! (Goodbye),Al Jolson
Clair De Lune,Claude Debussy
Immortals,Fall Out Boy
Stranglehold,Ted Nugent
Runnin',Pharrell Williams
Silence,Delerium
Surrender,Cheap Trick
Let The River Run,Carly Simon
On And On,Gladys Knight & the Pips
If The Sun Comes Up,Trace Adkins
Morning Train (Nine To Five),Sheena Easton
Apeman,The Kinks
Can't Take My Eyes Off You,Frankie Valli
Tequila,The Champs
Beauty School Dropout,Frankie Avalon
Tara's Theme,Max Steiner
The Future,Leonard Cohen
See What The Boys in the Back Room Will Have,Marlene Dietrich
When A Man Loves A Woman,Percy Sledge
She's Like The Wind,Patrick Swayze
Danza Kuduro,Don Omar
The Unwinding Cable Car,Anberlin
Someone To Watch Over Me,Gertrude Lawrence
Part of Your World,Jodi Benson
Rahab The Harlot,Nichelle Nichols
Deepest Shame,Plan B
(You Drive Me) Crazy,Britney Spears
Shock The Monkey,Peter Gabriel
Only a Northern Song,The Beatles
Fathers & Daughters,Michael Bolton
Metal Heart,Cat Power
Blame Canada,Matt Stone and Trey Parker
Diamonds Are a Girl's Best Friend,Ethel Merman
Bye Bye Baby (Baby Goodbye),The Four Seasons
Wish That You Were Here,Florence + the Machine
New Divide,Linkin Park
The Black Hills of Dakota,Doris Day
Iron Man,Black Sabbath
Wooly Bully,Sam the Sham & the Pharaohs
The Fool On The Hill,The Beatles
Apache,The Shadows
Let's Do Something Cheap and Superficial,Burt Reynolds
You're My Best Friend,Queen
Is This Love,Bob Marley & the Wailers
Time Is Tight,Booker T. & the MG's
(Don't Fear) The Reaper,Blue Öyster Cult
Accidents Will Happen,Bing Crosby
Piano Concerto in B Flat,Pyotr Il'yich Tchaikovsky
One Minute More,Capital Cities
Our Time Now,Plain White T's
Men In Black,Will Smith
My Kind of Town ,Frank Sinatra
Nothing's Gonna Stop Us Now,Starship
Into The West,Annie Lennox
Werewolves Of London,Warren Zevon
My Sharona,The Knack
Strangers,The Kinks
The Devil Went Down To Georgia,The Charlie Daniels Band
Baby Love,The Supremes
Go,Moby
Good Fortune,PJ Harvey
It's Too Late,Carole King
Sweet Home Alabama,Lynyrd Skynyrd
Blame It On The Bossa Nova,Eydie Gorme
In The Midnight Hour,Wilson Pickett
I Am...I Said,Neil Diamond
I See A Victory ,Pharrell Williams
In Time,Mark Collie
Guaranteed,Eddie Vedder
Love Touch,Rod Stewart
Goldfinger,Shirley Bassey
Dull Tool,Fiona Apple
Kernkraft 400,Zombie Nation
The Anvil Chorus,Giuseppe Verdi
Karma Chameleon,Culture Club
In The City,Joe Walsh
Not Afraid Anymore,Halsey
Everybody's Talkin',Nilsson
Miserable,Lit
"Holy, Holy, Holy",Mahalia Jackson
Horses On The Range,Timmy Curran
Chariots of Fire,Titles
I Sing The Body Electric,Cast of Fame
Welcome to the Party,Diplo
Both Sides Now,Judy Collins
It Makes No Difference,The Band
Police And Thieves,Junior Murvin
Onward Christian Soldiers,Arthur Sullivan
There's A Coach Comin' In,Harve Presnell
Runnin' With The Devil,Van Halen
I Saw Her Standing There,The Beatles
My Mammy,William Frawley
Somewhere Out There,Linda Ronstadt and James Ingram
Won't You Play A Simple Melody,Irving Berlin
Big Eyes,Lana Del Rey
Eighth Day,Hazel O'Connor
San Francisco (Be Sure To Wear Flowers In Your Hair),Scott McKenzie
Treefingers,Radiohead
Jump Around,House of Pain
In The Still Of The Nite,The Five Satins
Everything About You,Ugly Kid Joe
Reflection,Christina Aguilera
Get A Job,The Silhouettes
I Want You Back,The Jackson 5
The House I Live In,Frank Sinatra
I Like It Like That,Pete Rodriguez
Open Up,Leftfield
Dancing In The Sheets,Shalamar
Magnet And Steel,Walter Egan
I'll Think About You,We Are Messengers
Darling Nikki,Prince
Isn't She Lovely,Stevie Wonder
The Ballad Of Lucy Jordan,Marianne Faithfull
White Wedding,Billy Idol
Ac-cent-tchu-ate the Positive,Bing Crosby
Soul Man,Sam & Dave
Dreams,The Cranberries
Fooled Around And Fell In Love,Elvin Bishop
Thunderball,Tom Jones
Man On the Moon,R.E.M.
That Lady,The Isley Brothers
Come Rain Or Come Shine,Margaret Whiting
(I Want to) Come Home,Paul McCartney
All Star,Smash Mouth
God,Prince
Love Is a Beautiful Thing,Al Green
Beautiful Day,Scott Weiland
King Of Wishful Thinking,Go West
Six Directions of Boxing,Wu-Tang Clan
The Devil Is Dope,The Dramatics
Up Where We Belong,Joe Cocker & Jennifer Warnes
Stay,Lisa Loeb
Girls Talk Boys,5 Seconds of Summer
I've Got a Feeling,The Beatles
Hurricane,The Vamps
Spybreak!,Propellerheads
Gimme Shelter,The Rolling Stones
Secret,Maroon 5
To Be Loved,Train
Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons"
What I Am,Edie Brickell & New Bohemians
Paid,Pusha T & Jeremih
A Job To Do,Jerry Cantrell
The King's New Clothes,Danny Kaye
Tammy,Debbie Reynolds
God Shaped Hole,Plumb
As Time Goes By,"Arthur ""Dooley"" Wilson"
Mystery of Love,Sufjan Stevens
Theme From Mission: Impossible,Lalo Schifrin
Indian Love Call,Slim Whitman
Little Boat,Cast of The Water Gipsies
Perfect Day,Lou Reed
Don't Stop Me Now,Queen
Die Another Day,Madonna
Monster Mash,"Bobby ""Boris"" Pickett & the Crypt-Kickers"
Under the Sea,Disney
Everyday,Buddy Holly
Fantasy,"Earth, Wind & Fire"
Everybody Knows ,Leonard Cohen
It's In The Way That You Use It,Eric Clapton
Tenderness,General Public
For No One,The Beatles
Venom (Music From The Motion Picture),Eminem
In The Rain,The Dramatics
Heat of the Moment,Asia
Freedom,Richie Havens
Dreamin',Cliff Richard
The Sound of Silence,Simon & Garfunkel
Streets Of Philadelphia,Bruce Springsteen
Hallelujah,Jeff Buckley
Hush,Deep Purple
Til It Happens To You,Lady Gaga
Got Me Wrong,Alice in Chains
Sea of Love,Phil Phillips with the Twilights
When She Loved Me,Sarah McLachlan
Waiting Game,Banks
Two of a Crime,Miranda Lambert
Star Wars Theme / Cantina Band,Meco
Send Me On My Way,Rusted Root
Mr. Lee,The Bobbettes
I Wanna Be Your Dog,The Stooges
These Eyes,The Guess Who
Last Dance,Donna Summer
Bird Dog,The Everly Brothers
When We Were Young,Take That
This Must Be The Place (Naive Melody),Talking Heads
Friends,Blake Shelton
Can We Still Be Friends?,Todd Rundgren
Don't Worry Baby,The Beach Boys
Goin' Out West,Tom Waits
Black Panther,Kendrick Lamar
Chega de Saudade,Joao Gilberto
Love,The Twilight Singers
Phenomenal,Eminem
Rock 'N' Roll High School,Ramones
Zero,Imagine Dragons
Words Get In The Way,Miami Sound Machine
Driving My Life Away,Eddie Rabbitt
The Heat Miser,George S. Irving
Twist and Shout,The Beatles
What Would You Do?,City High
You're The Top,Ethel Merman and William Gaxton
What's New Pussycat?,Tom Jones
Walls,Tom Petty & the Heartbreakers
The Black Klansman,Tony Harris
You Don't Own Me,Lesley Gore
Guitar Man,Elvis Presley
Father's Love,Bob Carlisle
Sleep Walk,Santo & Johnny
Modern Woman,Billy Joel
Space Oddity,David Bowie
You Make Me Feel Like A Natural Woman,Aretha Franklin
Out Of Reach,Gabrielle
"Lawyers, Guns and Money",Warren Zevon
Singh is Kinng,Snoop Dogg
How Deep Is Your Love,Bee Gees
How Shall a Sparrow Fly,Ryan Bingham
Nothing Has Been Proved,Pet Shop Boys
Early One Morning,Traditional
In Too Deep,Genesis
Dani California,Red Hot Chili Peppers
Meteorite,Years & Years
Can You Feel The Love Tonight,Elton John
Stay,Zedd
